site,site_temp_c_mean,site_precip_mm_annual_mean
altos_de_piedra,26.841082812903203,2658.612880307823
campana_loop,28.07267485735891,1733.443726712124
cerro_negro,25.948699710271825,2698.192150075036
cuatro_callitas,25.483541963093497,2936.5097407213807
el_valle_hotel,27.173589215221075,1938.07866188427
farallon,28.169997918394845,1745.7180410588192
guabal,27.473746762973704,2281.553118245276
hotel_campestre,28.38526180055798,2265.0430896284465
jordinal,26.75480575497241,1965.646106203532
juan_julio,27.14758622803292,2203.6517302439765
juan_lana,25.891618009824683,2155.9893351526066
las_yayas,27.628970022342585,2280.94112655159
mata_ahogado,28.88451679556287,1585.8794698888412
medina,27.906728883090675,2254.817220037684
miguel_de_la_borda,25.867356129134002,2903.7389257982345
omar_torrijos,27.06023455482712,2294.615073098849
rabbit_stream,27.973711949181165,1746.9191211735272
rana_dorada,27.97618482861553,1751.4676709963935
rio_blanco,27.38024544616541,2312.648946313975
rio_maria,27.69774008276962,2278.6682895363865
rio_marta,27.143135615844272,2204.7110893892445
rio_tigrero,27.493950257291278,2505.7654603265305
sargentita,25.60407489921545,2814.580208119273
silenciosa,27.04207118389469,2284.8229822467697
sophia_stream,27.35782668902679,2507.0259916738764
sora,27.098072607939116,1894.584592158879
